path,category,manual_review_completed,static_scan_completed,tests,risks,findings,remediation,final_status
.github/copilot-instructions.md,repository automation,REVIEWED,COMPLETED,,Supply-chain/release behavior reviewed,,None required,PASS
.github/dependabot.yml,repository automation,REVIEWED,COMPLETED,,Supply-chain/release behavior reviewed,,None required,PASS
.github/workflows/ci.yml,workflow,REVIEWED,COMPLETED,pull_request and main workflow runs,Confirmed baseline or additional finding remediated; CI evidence pending,AF-SUP-001;AF-COV-001,See docs/audit/3.0.0/FINDINGS.md and linked regression/release gates,REMEDIATED_PENDING_CI
.github/workflows/codeql.yml,workflow,REVIEWED,COMPLETED,,Supply-chain/release behavior reviewed,,None required,PASS
.github/workflows/release.yml,workflow,REVIEWED,COMPLETED,tests/releaseScripts.test.ts; tag workflow,Confirmed baseline or additional finding remediated; CI evidence pending,AF-REL-001;AF-PROV-001,See docs/audit/3.0.0/FINDINGS.md and linked regression/release gates,REMEDIATED_PENDING_CI
.gitignore,configuration/documentation,N/A,COMPLETED,,No material file-specific risk identified,,None required,N/A
README.md,configuration/documentation,N/A,COMPLETED,,No material file-specific risk identified,,None required,N/A
docs/architecture/decisions.md,documentation,REVIEWED,COMPLETED,,No material file-specific risk identified,,None required,PASS
docs/audit/3.0.0/BASELINE.md,audit evidence,REVIEWED,COMPLETED,,No material file-specific risk identified,,None required,PASS
docs/audit/3.0.0/FINDINGS.md,audit evidence,REVIEWED,COMPLETED,,No material file-specific risk identified,,None required,PASS
docs/audit/3.0.0/RELEASE_EVIDENCE.md,audit evidence,REVIEWED,COMPLETED,,No material file-specific risk identified,,None required,PASS
docs/audit/3.0.0/TEST_MATRIX.md,audit evidence,REVIEWED,COMPLETED,,No material file-specific risk identified,,None required,PASS
docs/audit/ACCESSIBILITY_MATRIX.md,audit evidence,REVIEWED,COMPLETED,,No material file-specific risk identified,,None required,PASS
docs/audit/DATA_MIGRATION_MATRIX.md,audit evidence,REVIEWED,COMPLETED,,No material file-specific risk identified,,None required,PASS
docs/audit/EVIDENCE.md,audit evidence,REVIEWED,COMPLETED,,No material file-specific risk identified,,None required,PASS
docs/audit/FINDINGS_STATUS.md,audit evidence,REVIEWED,COMPLETED,,No material file-specific risk identified,,None required,PASS
docs/audit/IMPLEMENTATION_PLAN.md,audit evidence,REVIEWED,COMPLETED,,No material file-specific risk identified,,None required,PASS
docs/audit/PERFORMANCE_BASELINE.json,audit evidence,REVIEWED,COMPLETED,,No material file-specific risk identified,,None required,PASS
docs/audit/PERFORMANCE_REPORT.md,audit evidence,REVIEWED,COMPLETED,,No material file-specific risk identified,,None required,PASS
docs/audit/QA_REPORT.md,audit evidence,REVIEWED,COMPLETED,,No material file-specific risk identified,,None required,PASS
docs/audit/SETTINGS_MATRIX.md,audit evidence,REVIEWED,COMPLETED,,No material file-specific risk identified,,None required,PASS
docs/development/CONTRIBUTING.md,documentation,REVIEWED,COMPLETED,,No material file-specific risk identified,,None required,PASS
docs/diagrams/asterfold-user-flow.bpmn,documentation,REVIEWED,COMPLETED,,No material file-specific risk identified,,None required,PASS
docs/diagrams/asterfold-user-flow.svg,documentation,REVIEWED,COMPLETED,,No material file-specific risk identified,,None required,PASS
docs/images/03-settings-1280x800.png,documentation,REVIEWED,N/A binary metadata/asset validation,,No material file-specific risk identified,,None required,PASS
docs/images/scale-1280x720.png,documentation,REVIEWED,N/A binary metadata/asset validation,,No material file-specific risk identified,,None required,PASS
docs/images/scale-1920x1080.png,documentation,REVIEWED,N/A binary metadata/asset validation,,No material file-specific risk identified,,None required,PASS
docs/images/settings.png,documentation,REVIEWED,N/A binary metadata/asset validation,,No material file-specific risk identified,,None required,PASS
docs/images/workspace.png,documentation,REVIEWED,N/A binary metadata/asset validation,,No material file-specific risk identified,,None required,PASS
docs/release/install.md,documentation,REVIEWED,COMPLETED,,No material file-specific risk identified,,None required,PASS
docs/release/release-notes.md,documentation,REVIEWED,COMPLETED,,No material file-specific risk identified,,None required,PASS
docs/release/versioning.md,documentation,REVIEWED,COMPLETED,,No material file-specific risk identified,,None required,PASS
docs/security/branch-protection.md,security/privacy documentation,REVIEWED,COMPLETED,,No material file-specific risk identified,,None required,PASS
docs/security/permissions.md,security/privacy documentation,REVIEWED,COMPLETED,,No material file-specific risk identified,,None required,PASS
docs/security/privacy.md,security/privacy documentation,REVIEWED,COMPLETED,,No material file-specific risk identified,,None required,PASS
docs/security/review.md,security/privacy documentation,REVIEWED,COMPLETED,,No material file-specific risk identified,,None required,PASS
docs/security/third-party-notices.md,security/privacy documentation,REVIEWED,COMPLETED,,No material file-specific risk identified,,None required,PASS
docs/security/threat-model.md,security/privacy documentation,REVIEWED,COMPLETED,,No material file-specific risk identified,,None required,PASS
docs/store/privacy-practices.md,Store submission documentation,REVIEWED,COMPLETED,,No material file-specific risk identified,,None required,PASS
docs/store/privacy.html,Store submission documentation,REVIEWED,COMPLETED,,No material file-specific risk identified,,None required,PASS
docs/store/submission-checklist.md,Store submission documentation,REVIEWED,COMPLETED,,No material file-specific risk identified,,None required,PASS
e2e/extension.spec.ts,real-extension E2E,REVIEWED,COMPLETED,,Test quality and false-positive risk reviewed,,None required,PASS
e2e/upgrade.spec.ts,real-extension E2E,REVIEWED,COMPLETED,,Test quality and false-positive risk reviewed,,None required,PASS
entrypoints/background.ts,service worker entrypoint,YES,COMPLETED,tests/manifestPolicy.test.ts; e2e/extension.spec.ts,No additional defect confirmed during manual review,,None required,PASS
entrypoints/import-worker.ts,extension entrypoint,YES,COMPLETED,,No additional defect confirmed during manual review,,None required,PASS
entrypoints/newtab/index.html,extension entrypoint,YES,COMPLETED,,No additional defect confirmed during manual review,,None required,PASS
entrypoints/newtab/main.tsx,extension entrypoint,YES,COMPLETED,,No additional defect confirmed during manual review,,None required,PASS
entrypoints/popup/PopupApp.tsx,extension entrypoint,YES,COMPLETED,e2e/extension.spec.ts,Confirmed baseline or additional finding remediated; CI evidence pending,AF-RACE-002,See docs/audit/3.0.0/FINDINGS.md and linked regression/release gates,REMEDIATED_PENDING_CI
entrypoints/popup/index.html,extension entrypoint,YES,COMPLETED,,No additional defect confirmed during manual review,,None required,PASS
entrypoints/popup/main.tsx,extension entrypoint,YES,COMPLETED,,No additional defect confirmed during manual review,,None required,PASS
entrypoints/popup/popup.css,extension entrypoint,YES,COMPLETED,,No additional defect confirmed during manual review,,None required,PASS
eslint.config.js,configuration/documentation,REVIEWED,COMPLETED,,No material file-specific risk identified,,None required,PASS
package-lock.json,dependency/build manifest,REVIEWED,COMPLETED,,No material file-specific risk identified,,None required,PASS
package.json,dependency/build manifest,YES,COMPLETED,,No additional defect confirmed during manual review,,None required,PASS
playwright.config.ts,configuration/documentation,REVIEWED,COMPLETED,,No material file-specific risk identified,,None required,PASS
public/icons/icon-128.png,runtime static asset,N/A,N/A binary metadata/asset validation,,No material file-specific risk identified,,None required,N/A
public/icons/icon-16.png,runtime static asset,N/A,N/A binary metadata/asset validation,,No material file-specific risk identified,,None required,N/A
public/icons/icon-32.png,runtime static asset,N/A,N/A binary metadata/asset validation,,No material file-specific risk identified,,None required,N/A
public/icons/icon-48.png,runtime static asset,N/A,N/A binary metadata/asset validation,,No material file-specific risk identified,,None required,N/A
public/icons/mark-16.svg,runtime static asset,N/A,COMPLETED,,No material file-specific risk identified,,None required,N/A
public/icons/mark-20.svg,runtime static asset,N/A,COMPLETED,,No material file-specific risk identified,,None required,N/A
public/icons/mark-24.svg,runtime static asset,N/A,COMPLETED,,No material file-specific risk identified,,None required,N/A
public/icons/mark-32.svg,runtime static asset,N/A,COMPLETED,,No material file-specific risk identified,,None required,N/A
public/icons/mark-dark.svg,runtime static asset,N/A,COMPLETED,,No material file-specific risk identified,,None required,N/A
public/icons/mark-high-contrast.svg,runtime static asset,N/A,COMPLETED,,No material file-specific risk identified,,None required,N/A
public/icons/mark-light.svg,runtime static asset,N/A,COMPLETED,,No material file-specific risk identified,,None required,N/A
public/icons/mark-monochrome.svg,runtime static asset,N/A,COMPLETED,,No material file-specific risk identified,,None required,N/A
public/icons/mark.svg,runtime static asset,N/A,COMPLETED,,No material file-specific risk identified,,None required,N/A
public/icons/new-tab.svg,runtime static asset,N/A,COMPLETED,,No material file-specific risk identified,,None required,N/A
public/icons/wordmark-horizontal.svg,runtime static asset,N/A,COMPLETED,,No material file-specific risk identified,,None required,N/A
public/wallpapers/blue-mesh.webp,runtime static asset,N/A,N/A binary metadata/asset validation,,No material file-specific risk identified,,None required,N/A
public/wallpapers/dusk.webp,runtime static asset,N/A,N/A binary metadata/asset validation,,No material file-specific risk identified,,None required,N/A
public/wallpapers/quiet-aurora.webp,runtime static asset,N/A,N/A binary metadata/asset validation,,No material file-specific risk identified,,None required,N/A
scripts/check-audit-baseline.mjs,build/release/security script,REVIEWED,COMPLETED,npm run audit:development,Confirmed baseline or additional finding remediated; CI evidence pending,AF-SUP-001,See docs/audit/3.0.0/FINDINGS.md and linked regression/release gates,REMEDIATED_PENDING_CI
scripts/clean.mjs,build/release/security script,REVIEWED,COMPLETED,,Supply-chain/release behavior reviewed,,None required,PASS
